City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,32.58,68,42,13.31,TF,Fri Jul 19 15:22:45 2024
1,ushuaia,-54.8,-68.3,46.02,81,40,4.61,AR,Fri Jul 19 15:22:45 2024
2,igarka,67.4667,86.5833,45.19,67,4,14.58,RU,Fri Jul 19 15:22:45 2024
3,waitangi,-43.9535,-176.5597,52.83,95,100,28.83,NZ,Fri Jul 19 15:22:45 2024
4,ilulissat,69.2167,-51.1,48.47,63,63,3.76,GL,Fri Jul 19 15:22:46 2024
5,margaret river,-33.95,115.0667,58.75,65,100,20.56,AU,Fri Jul 19 15:22:46 2024
6,gizo,-8.103,156.8419,80.67,83,94,20.56,SB,Fri Jul 19 15:22:46 2024
7,luninyets,52.2472,26.8047,63.28,76,0,4.03,BY,Fri Jul 19 15:22:47 2024
8,wynne,35.2245,-90.7868,80.4,53,58,9.42,US,Fri Jul 19 15:22:47 2024
9,sao joao da barra,-21.6403,-41.0511,75.29,62,55,15.05,BR,Fri Jul 19 15:22:47 2024
10,college,64.8569,-147.8028,64.09,59,20,0.0,US,Fri Jul 19 15:22:47 2024
11,edinburgh of the seven seas,-37.0676,-12.3116,54.77,69,100,11.79,SH,Fri Jul 19 15:22:47 2024
12,nar'yan-mar,67.6713,53.087,41.95,83,0,11.65,RU,Fri Jul 19 15:22:48 2024
13,bilibino,68.0546,166.4372,49.08,72,99,2.93,RU,Fri Jul 19 15:22:48 2024
14,adamstown,-25.066,-130.1015,71.92,86,100,28.41,PN,Fri Jul 19 15:22:48 2024
15,albany,42.6001,-73.9662,81.95,48,0,1.99,US,Fri Jul 19 15:12:59 2024
16,tiksi,71.6872,128.8694,42.91,66,100,4.9,RU,Fri Jul 19 15:22:49 2024
17,grytviken,-54.2811,-36.5092,31.17,96,93,2.93,GS,Fri Jul 19 15:22:49 2024
18,kapuskasing,49.4169,-82.4331,80.69,47,75,17.27,CA,Fri Jul 19 15:22:49 2024
19,puerto natales,-51.7236,-72.4875,48.65,49,75,29.93,CL,Fri Jul 19 15:22:44 2024
20,udachny,66.4167,112.4,54.1,71,16,6.02,RU,Fri Jul 19 15:22:49 2024
21,blackmans bay,-43.0167,147.3167,39.52,92,100,1.01,AU,Fri Jul 19 15:22:50 2024
22,knjazevac,43.5648,22.2502,83.82,99,13,4.61,RS,Fri Jul 19 15:22:50 2024
23,jamestown,42.097,-79.2353,77.02,49,40,5.01,US,Fri Jul 19 15:22:50 2024
